219.6961;137.9075
217.9084;194.2400
217.4053;357.0399
216.9447;413.4740
217.8339;366.8939
217.1921;417.3636
218.4048;374.1516
217.8631;429.4171
214.3678;351.5089
211.4436;402.4368
219.1406;197.6392
217.2170;266.7954
215.8903;481.0804
215.2702;557.7416
217.2843;488.4776
216.0969;573.0122
215.8835;497.3752
215.4957;573.0872
208.5364;474.7021
207.6267;561.4463
209.6145;302.5413
208.8918;411.2095
208.2315;747.4296
204.6760;751.3725
208.2408;760.6489
205.0661;765.8210
208.9287;855.7737
206.7722;878.5940
203.8903;746.0941
200.3927;873.2798
